J.D.-2400000	FILTER	Relative Flux	Relative Flux Error
57985.45496	V	0.839419	0.003161
57985.45577	V	0.833978	0.003133
57985.45658	V	0.842018	0.003165
57985.45739	V	0.838266	0.003151
57985.45821	V	0.836726	0.003149
57985.45902	V	0.833845	0.003149
57985.45983	V	0.837036	0.003183
57985.46065	V	0.83737	0.003162
57985.46146	V	0.835793	0.003161
57985.46227	V	0.84137	0.003194
57985.46308	V	0.83392	0.003175
57985.46389	V	0.836819	0.003182
57985.46471	V	0.825427	0.003141
57985.46552	V	0.834983	0.003183
57985.46634	V	0.833922	0.003173
57985.46715	V	0.828614	0.00315
57985.46796	V	0.823877	0.003152
57985.46878	V	0.825477	0.00315
57985.46959	V	0.825483	0.003156
57985.4704	V	0.823136	0.003142
57985.47121	V	0.832377	0.003181
57985.47203	V	0.827309	0.003179
57985.47284	V	0.823236	0.003148
57985.47365	V	0.823276	0.003149
57985.47446	V	0.818102	0.003149
57985.47528	V	0.819766	0.003142
57985.47609	V	0.823469	0.003168
57985.4769	V	0.820898	0.00315
57985.47772	V	0.816086	0.003135
57985.47853	V	0.816356	0.003141
57985.47934	V	0.811241	0.003107
57985.48015	V	0.813075	0.003133
57985.48097	V	0.811205	0.003135
57985.48178	V	0.811341	0.003149
57985.48259	V	0.803626	0.003111
57985.48341	V	0.807822	0.003113
57985.48422	V	0.809815	0.003142
57985.48503	V	0.805281	0.003134
57985.48585	V	0.799194	0.003108
57985.48666	V	0.802451	0.003121
57985.48747	V	0.804364	0.003128
57985.48829	V	0.797463	0.003096
57985.4891	V	0.799762	0.003109
57985.48991	V	0.801323	0.003115
57985.49073	V	0.800014	0.003116
57985.49154	V	0.800062	0.003114
57985.49235	V	0.794295	0.003104
57985.49317	V	0.792251	0.003098
57985.49398	V	0.790052	0.003082
57985.49479	V	0.791542	0.003092
57985.4956	V	0.787054	0.00312
57985.49642	V	0.783087	0.003068
57985.49723	V	0.783449	0.003075
57985.49804	V	0.787843	0.003103
57985.49886	V	0.782663	0.003081
57985.49967	V	0.772431	0.003047
57985.50048	V	0.779672	0.003078
57985.50129	V	0.773075	0.003067
57985.50211	V	0.770077	0.003056
57985.50292	V	0.768745	0.003087
57985.50373	V	0.770236	0.003053
57985.50455	V	0.767146	0.003045
57985.50536	V	0.758692	0.003017
57985.50617	V	0.764479	0.003054
57985.50699	V	0.761717	0.003041
57985.5078	V	0.760647	0.003039
57985.50861	V	0.750958	0.002989
57985.50943	V	0.750954	0.002996
57985.51024	V	0.747047	0.002979
57985.51105	V	0.74096	0.002965
57985.51186	V	0.736557	0.002965
57985.51268	V	0.737871	0.002967
57985.51349	V	0.736621	0.002959
57985.5143	V	0.736002	0.002973
57985.51511	V	0.727864	0.002932
57985.51593	V	0.72556	0.002934
57985.51674	V	0.723941	0.002909
57985.51755	V	0.725187	0.00292
57985.51836	V	0.716551	0.002894
57985.51918	V	0.718118	0.002917
57985.51999	V	0.715877	0.002906
57985.5208	V	0.71387	0.002918
57985.52161	V	0.711911	0.002911
57985.52243	V	0.707606	0.002919
57985.52324	V	0.699602	0.002884
57985.52405	V	0.699265	0.002875
57985.52487	V	0.720335	0.002936
57985.52568	V	0.700321	0.00289
57985.52649	V	0.696007	0.002884
57985.5273	V	0.692196	0.002864
57985.52812	V	0.68553	0.002849
57985.52893	V	0.691405	0.002889
57985.52974	V	0.683698	0.002861
57985.53056	V	0.681996	0.002845
57985.53137	V	0.678569	0.002827
57985.53219	V	0.676408	0.002838
57985.533	V	0.674441	0.002834
57985.53381	V	0.676636	0.002855
57985.53462	V	0.674817	0.002883
57985.53544	V	0.672819	0.00284
57985.53625	V	0.677201	0.002924
57985.53706	V	0.674742	0.002894
57985.53787	V	0.671256	0.002868
57985.53868	V	0.668876	0.002886
57985.5395	V	0.668737	0.002851
57985.54031	V	0.665159	0.002807
57985.54113	V	0.669592	0.002821
57985.54194	V	0.664433	0.002811
57985.54275	V	0.672137	0.002845
57985.54356	V	0.67195	0.002889
57985.54438	V	0.671918	0.002839
57985.54519	V	0.66961	0.002863
57985.546	V	0.670001	0.002847
57985.54682	V	0.673149	0.0029
57985.54763	V	0.665606	0.00293
57985.54844	V	0.662066	0.002943
57985.54926	V	0.667782	0.002962
57985.55007	V	0.67269	0.002969
57985.55088	V	0.674229	0.003115
57985.55169	V	0.668687	0.002911
57985.55251	V	0.667029	0.003067
57985.55332	V	0.668051	0.003071
57985.55413	V	0.671009	0.002857
57985.55494	V	0.679013	0.002889
57985.55576	V	0.671504	0.00289
57985.55657	V	0.667382	0.002878
57985.55738	V	0.664841	0.002949
57985.55819	V	0.670693	0.002891
57985.55901	V	0.66772	0.002997
57985.55982	V	0.673642	0.003201
57985.56063	V	0.66684	0.002954
57985.56145	V	0.673129	0.002919
57985.56226	V	0.670757	0.003036
57985.56307	V	0.666813	0.003018
57985.56388	V	0.664435	0.003001
57985.56469	V	0.664522	0.002924
57985.56551	V	0.670026	0.002904
57985.56632	V	0.673233	0.002921
57985.56713	V	0.675124	0.002944
57985.56794	V	0.670716	0.002925
57985.56876	V	0.674419	0.002933
57985.56957	V	0.67461	0.002911
57985.57038	V	0.671806	0.002912
57985.57119	V	0.669099	0.002912
57985.57201	V	0.676678	0.002939
57985.57282	V	0.665642	0.002974
57985.57363	V	0.674629	0.002978
57985.57445	V	0.681464	0.002992
57985.57526	V	0.68425	0.003121
57985.57607	V	0.683334	0.003022
57985.57688	V	0.689675	0.00311
57985.57769	V	0.689756	0.003005
57985.5785	V	0.683389	0.003043
57985.57932	V	0.692315	0.00301
57985.58013	V	0.702297	0.003013
57985.58094	V	0.693932	0.003007
57985.58176	V	0.696533	0.003027
57985.58257	V	0.704001	0.003083
57985.58338	V	0.706391	0.003094
57985.58419	V	0.707247	0.003064
57985.58501	V	0.710414	0.003196
57985.58582	V	0.707613	0.003148
57985.58663	V	0.720615	0.003128
57985.58744	V	0.719742	0.003141
57985.58826	V	0.723859	0.003172
57985.58907	V	0.727404	0.003245
57985.58988	V	0.727664	0.003221
57985.59069	V	0.720874	0.003204
57985.59151	V	0.732944	0.003208
57985.59232	V	0.732629	0.003263
57985.59313	V	0.739257	0.003227
57985.59395	V	0.73855	0.003278
57985.59476	V	0.734726	0.003243
57985.59557	V	0.745167	0.003316
57985.59638	V	0.750422	0.003303
57985.5972	V	0.743764	0.003207
57985.59801	V	0.761685	0.003266
57985.59882	V	0.752225	0.003201
57985.59963	V	0.759786	0.003245
57985.60045	V	0.754481	0.003245
57985.60126	V	0.765709	0.003242
57985.60207	V	0.75923	0.003232
57985.60288	V	0.768545	0.00339
57985.60369	V	0.771871	0.003422
57985.60451	V	0.766398	0.003332
57985.60532	V	0.771221	0.003471
57985.60613	V	0.768235	0.003409
57985.60694	V	0.778502	0.003369
57985.60776	V	0.782676	0.003394
57985.60857	V	0.770468	0.003301
57985.60938	V	0.782713	0.003353
57985.61019	V	0.777307	0.003305
57985.611	V	0.775633	0.003331
57985.61182	V	0.783987	0.0033
57985.61263	V	0.784796	0.003304
57985.61345	V	0.784492	0.003329
57985.61426	V	0.788113	0.003478
57985.61507	V	0.785812	0.003568
57985.61588	V	0.791512	0.003474
57985.61669	V	0.791658	0.003389
57985.6175	V	0.789579	0.003326
57985.61832	V	0.790381	0.003329
57985.61913	V	0.788743	0.003353
57985.61994	V	0.782501	0.003458
57985.62075	V	0.802899	0.003447
57985.62156	V	0.795946	0.003387
57985.62238	V	0.778991	0.003368
57985.62319	V	0.785176	0.003324
57985.624	V	0.785694	0.003358
57985.62481	V	0.794967	0.003362
57985.62563	V	0.793009	0.003349
57985.62644	V	0.791496	0.003386
57985.62725	V	0.798259	0.003405
57985.62806	V	0.795405	0.003413
57985.62888	V	0.799765	0.003415
57985.62969	V	0.806664	0.003422
57985.6305	V	0.796389	0.003388
57985.63132	V	0.795022	0.003388
57985.63213	V	0.796078	0.003413
57985.63294	V	0.799882	0.003438
57985.63375	V	0.799879	0.003394
57985.63457	V	0.795161	0.003385
57985.64072	V	0.799458	0.003431
57985.64153	V	0.81992	0.003516
57985.64235	V	0.808478	0.003472
57985.64316	V	0.813969	0.003498
57985.64397	V	0.816619	0.003521
57985.64479	V	0.820046	0.003547
57985.6456	V	0.802182	0.003512
57985.64641	V	0.815166	0.003533
57985.64722	V	0.808113	0.003533
57985.64803	V	0.818382	0.003584
57985.64884	V	0.819735	0.003613
57985.64966	V	0.820216	0.003583
57985.65047	V	0.809393	0.003566
57985.65133	V	0.815144	0.003565
57985.65215	V	0.820006	0.003592
57985.65296	V	0.817094	0.003616
57985.65377	V	0.807267	0.003645
57985.65459	V	0.826224	0.003693
57985.6554	V	0.808746	0.003596
57985.65621	V	0.825588	0.0037
57985.65813	V	0.802538	0.003581
57985.65894	V	0.817516	0.003615
57985.65976	V	0.80468	0.003599
57985.66057	V	0.831215	0.003728
57985.66138	V	0.81176	0.003629
57985.6622	V	0.808114	0.003581
57985.66301	V	0.818174	0.003709
57985.37298	R	0.742845	0.003048
57985.37379	R	0.744558	0.003066
57985.3746	R	0.754545	0.00309
57985.37541	R	0.754853	0.003076
57985.37623	R	0.75807	0.003077
57985.37708	R	0.762112	0.003086
57985.37789	R	0.768609	0.00311
57985.37871	R	0.7702	0.003132
57985.37952	R	0.765335	0.003096
57985.38033	R	0.768916	0.003097
57985.38114	R	0.767801	0.00309
57985.38195	R	0.776222	0.00313
57985.38277	R	0.781187	0.003148
57985.38358	R	0.78604	0.003168
57985.38439	R	0.786503	0.003223
57985.38521	R	0.791569	0.003204
57985.38602	R	0.788804	0.003188
57985.38683	R	0.791072	0.003162
57985.38764	R	0.789691	0.003167
57985.38846	R	0.798423	0.003194
57985.38927	R	0.797299	0.003188
57985.39008	R	0.795152	0.003174
57985.3909	R	0.805617	0.003233
57985.39171	R	0.79863	0.003186
57985.39252	R	0.810052	0.003236
57985.39334	R	0.806633	0.003227
57985.39415	R	0.810469	0.003239
57985.39496	R	0.811665	0.003228
57985.39577	R	0.80995	0.003218
57985.39658	R	0.814164	0.003248
57985.3974	R	0.812547	0.003222
